,Title,Artist,Rank,name,album,artist,release_date,duration_ms,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,explicit
0,Shape Of You,Ed Sheeran,1,Shape of You,÷ (Deluxe),Ed Sheeran,2017-03-03,233712,88,0.825,0.581,0.825,0.652,0.0,0.0931,-3.183,0.0802,95.977,4,0.931,False
1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2,Despacito - Remix,Despacito Feat. Justin Bieber (Remix),Luis Fonsi,2017-04-17,228826,75,0.653,0.228,0.653,0.816,0.0,0.0967,-4.353,0.167,178.085,4,0.816,False
2,That's What I Like,Bruno Mars,3,That's What I Like,24K Magic,Bruno Mars,2016-11-17,206693,84,0.853,0.013,0.853,0.56,0.0,0.0944,-4.961,0.0406,134.066,4,0.86,False
3,Humble.,Kendrick Lamar,4,HUMBLE.,DAMN.,Kendrick Lamar,2017-04-14,177000,85,0.908,0.000282,0.908,0.621,5.39e-05,0.0958,-6.638,0.102,150.011,4,0.421,True
4,Something Just Like This,The Chainsmokers & Coldplay,5,Something Just Like This,Memories...Do Not Open,The Chainsmokers,2017-04-07,247160,86,0.617,0.0498,0.617,0.635,1.44e-05,0.164,-6.769,0.0317,103.019,4,0.446,False
5,Bad And Boujee,Migos Featuring Lil Uzi Vert,6,Bad and Boujee (feat. Lil Uzi Vert),Culture,Migos,2017-01-27,343150,77,0.927,0.061,0.927,0.665,0.0,0.123,-5.313,0.244,127.076,4,0.175,True
6,Closer,The Chainsmokers Featuring Halsey,7,Closer,Closer,The Chainsmokers,2016-07-29,244960,87,0.748,0.414,0.748,0.524,0.0,0.111,-5.599,0.0338,95.01,4,0.661,False
7,Body Like A Back Road,Sam Hunt,8,Body Like A Back Road,Body Like A Back Road,Sam Hunt,2017-02-01,165386,75,0.732,0.447,0.732,0.458,0.0,0.136,-7.225,0.0311,98.938,4,0.661,False
8,Believer,Imagine Dragons,9,Believer,Evolve,Imagine Dragons,2017-06-23,204346,0,0.772,0.0512,0.772,0.78,0.0,0.119,-4.288,0.108,124.988,4,0.719,False
9,Congratulations,Post Malone Featuring Quavo,10,Congratulations,Stoney (Deluxe),Post Malone,2016-12-09,220293,84,0.63,0.215,0.63,0.804,0.0,0.253,-4.183,0.0363,123.146,4,0.492,True
10,Say You Won't Let Go,James Arthur,11,Say You Won't Let Go,Back from the Edge,James Arthur,2016-10-28,211466,88,0.358,0.695,0.358,0.557,0.0,0.0902,-7.398,0.059,85.043,4,0.494,False
11,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",12,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Grateful,DJ Khaled,2017-06-22,288600,75,0.609,0.0552,0.609,0.668,0.0,0.167,-4.284,0.0367,80.924,4,0.811,True
12,XO TOUR Llif3,Lil Uzi Vert,13,XO Tour Llif3,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,182706,86,0.732,0.00264,0.732,0.75,0.0,0.109,-6.366,0.231,155.096,4,0.401,True
13,Mask Off,Future,14,Mask Off,FUTURE,Future,2017-06-30,204600,83,0.833,0.0102,0.833,0.434,0.0219,0.165,-8.795,0.431,150.062,4,0.281,True
14,Unforgettable,French Montana Featuring Swae Lee,15,Unforgettable,Jungle Rules,French Montana,2017-07-14,233901,83,0.726,0.0293,0.726,0.769,0.0101,0.104,-5.043,0.123,97.985,4,0.733,True
15,24K Magic,Bruno Mars,16,24K Magic,24K Magic,Bruno Mars,2016-11-17,225983,81,0.818,0.034,0.818,0.803,0.0,0.153,-4.282,0.0797,106.97,4,0.632,False
16,Stay,Zedd & Alessia Cara,17,Stay,Stay,Zedd,2017-02-23,210090,78,0.69,0.253,0.69,0.622,0.0,0.116,-5.025,0.0622,102.04,4,0.544,False
17,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,18,Wild Thoughts (feat. Rihanna & Bryson Tiller),Grateful,DJ Khaled,2017-06-22,204173,75,0.671,0.0329,0.671,0.672,0.0,0.118,-3.094,0.0688,97.979,4,0.632,True
18,Black Beatles,Rae Sremmurd Featuring Gucci Mane,19,Black Beatles,SremmLife 2 (Deluxe),Rae Sremmurd,2016-08-12,291893,80,0.794,0.142,0.794,0.632,0.0,0.128,-6.163,0.0649,145.926,4,0.355,True
19,Starboy,The Weeknd Featuring Daft Punk,20,Starboy,Starboy,The Weeknd,2016-11-25,230453,87,0.679,0.141,0.679,0.587,6.35e-06,0.137,-7.015,0.276,186.003,4,0.486,True
20,Location,Khalid,21,Location,American Teen,Khalid,2017-04-27,219080,81,0.736,0.33,0.736,0.449,0.000162,0.0898,-11.462,0.425,80.126,4,0.326,False
21,Attention,Charlie Puth,22,Attention,Attention,Charlie Puth,2017-04-20,211475,2,0.774,0.0969,0.774,0.626,3.12e-05,0.0848,-4.432,0.0432,100.041,4,0.777,False
22,There's Nothing Holdin' Me Back,Shawn Mendes,23,There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,2017-04-20,199440,86,0.866,0.38,0.866,0.813,0.0,0.0779,-4.063,0.0554,121.998,4,0.969,False
23,Bodak Yellow (Money Moves),Cardi B,24,Bodak Yellow,Bodak Yellow,Cardi B,2017-06-16,223962,64,0.929,0.0672,0.929,0.723,0.0,0.346,-5.792,0.109,125.022,4,0.458,True
24,Redbone,Childish Gambino,25,Redbone,"""Awaken, My Love!""",Childish Gambino,2016-12-02,326933,2,0.745,0.172,0.745,0.356,0.00943,0.123,-10.425,0.0941,160.033,4,0.607,True
25,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,26,I Don’t Wanna Live Forever (Fifty Shades Darker),Fifty Shades Darker (Original Motion Picture Soundtrack),Various Artists,2017-02-10,245653,70,0.734,0.0594,0.734,0.442,1.63e-05,0.213,-8.432,0.0557,117.967,4,0.0973,False
26,It Ain't Me,Kygo x Selena Gomez,27,It Ain't Me (with Selena Gomez),It Ain't Me (with Selena Gomez),Kygo,2017-02-16,220780,79,0.64,0.119,0.64,0.533,0.0,0.0864,-6.596,0.0706,99.968,4,0.515,False
27,iSpy,KYLE Featuring Lil Yachty,28,iSpy (feat. Lil Yachty),iSpy (feat. Lil Yachty),KYLE,2016-12-02,253106,76,0.746,0.378,0.746,0.653,0.0,0.229,-6.745,0.289,75.016,4,0.672,True
28,Issues,Julia Michaels,29,Issues,Nervous System,Julia Michaels,2017-07-28,176320,71,0.728,0.401,0.728,0.415,0.0,0.0616,-6.852,0.0639,114.145,4,0.455,False
29,Scars To Your Beautiful,Alessia Cara,30,Scars To Your Beautiful,Know-It-All (Deluxe),Alessia Cara,2015-11-13,230226,76,0.573,0.0285,0.573,0.739,0.0,0.111,-5.74,0.129,97.085,4,0.451,False
30,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,31,1-800-273-8255,Everybody,Logic,2017-05-05,250173,81,0.62,0.569,0.62,0.574,0.0,0.19,-7.788,0.0479,100.023,4,0.357,True
31,Slow Hands,Niall Horan,32,Slow Hands,Slow Hands,Niall Horan,2017-05-04,188174,60,0.735,0.011,0.735,0.423,0.0,0.0553,-6.652,0.0459,85.899,4,0.851,False
