,name,album,artist,release_date,duration_ms,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,explicit
0,HUMBLE.,DAMN.,Kendrick Lamar,2017-04-14,177000,85,0.908,0.000282,0.908,0.621,5.39e-05,0.0958,-6.638,0.102,150.011,4,0.421,True
1,XO Tour Llif3,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,182706,86,0.732,0.00264,0.732,0.75,0.0,0.109,-6.366,0.231,155.096,4,0.401,True
2,Shape of You,÷ (Deluxe),Ed Sheeran,2017-03-03,233712,88,0.825,0.581,0.825,0.652,0.0,0.0931,-3.183,0.0802,95.977,4,0.931,False
3,Congratulations,Stoney (Deluxe),Post Malone,2016-12-09,220293,84,0.63,0.215,0.63,0.804,0.0,0.253,-4.183,0.0363,123.146,4,0.492,True
4,Despacito - Remix,Despacito Feat. Justin Bieber (Remix),Luis Fonsi,2017-04-17,228826,4,0.694,0.229,0.694,0.815,0.0,0.0924,-4.328,0.12,88.931,4,0.813,False
5,Mask Off,FUTURE,Future,2017-06-30,204600,83,0.833,0.0102,0.833,0.434,0.0219,0.165,-8.795,0.431,150.062,4,0.281,True
6,iSpy (feat. Lil Yachty),iSpy (feat. Lil Yachty),KYLE,2016-12-02,253106,76,0.746,0.378,0.746,0.653,0.0,0.229,-6.745,0.289,75.016,4,0.672,True
7,Location,American Teen,Khalid,2017-04-27,219080,81,0.736,0.33,0.736,0.449,0.000162,0.0898,-11.462,0.425,80.126,4,0.326,False
8,That's What I Like,24K Magic,Bruno Mars,2016-11-17,206693,84,0.853,0.013,0.853,0.56,0.0,0.0944,-4.961,0.0406,134.066,4,0.86,False
9,Unforgettable,Jungle Rules,French Montana,2017-07-14,233901,83,0.726,0.0293,0.726,0.769,0.0101,0.104,-5.043,0.123,97.985,4,0.733,True
10,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Grateful,DJ Khaled,2017-06-22,288600,75,0.609,0.0552,0.609,0.668,0.0,0.167,-4.284,0.0367,80.924,4,0.811,True
11,Bad and Boujee (feat. Lil Uzi Vert),Culture,Migos,2017-01-27,343150,77,0.927,0.061,0.927,0.665,0.0,0.123,-5.313,0.244,127.076,4,0.175,True
12,1-800-273-8255,Everybody,Logic,2017-05-05,250173,81,0.62,0.569,0.62,0.574,0.0,0.19,-7.788,0.0479,100.023,4,0.357,True
13,goosebumps,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,243836,88,0.841,0.0847,0.841,0.728,0.0,0.149,-3.37,0.0484,130.049,4,0.43,True
14,DNA.,DAMN.,Kendrick Lamar,2017-04-14,185946,81,0.638,0.00454,0.638,0.523,0.0,0.0842,-6.664,0.357,139.913,4,0.422,True
15,Bounce Back,I Decided.,Big Sean,2017-02-03,222360,75,0.78,0.106,0.78,0.575,0.0,0.129,-5.628,0.139,81.502,4,0.273,True
16,Redbone,"""Awaken, My Love!""",Childish Gambino,2016-12-02,326933,2,0.745,0.172,0.745,0.356,0.00943,0.123,-10.425,0.0941,160.033,4,0.607,True
17,Fake Love,More Life,Drake,2017-03-18,210937,77,0.928,0.105,0.928,0.481,0.0,0.176,-9.35,0.287,134.007,4,0.613,True
18,Body Like A Back Road,Body Like A Back Road,Sam Hunt,2017-02-01,165386,75,0.732,0.447,0.732,0.458,0.0,0.136,-7.225,0.0311,98.938,4,0.661,False
19,Passionfruit,More Life,Drake,2017-03-18,298940,0,0.809,0.256,0.809,0.463,0.085,0.109,-11.377,0.0396,111.98,4,0.364,True
