,rank,name,album,artist,release_date,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,explicit,duration_sec
0,1,HUMBLE.,DAMN.,Kendrick Lamar,2017-04-14,0.908,0.000282,0.621,5.39e-05,0.0958,-6.638,0.102,150.011,0.421,True,177.0
1,2,XO Tour Llif3,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,0.732,0.00264,0.75,0.0,0.109,-6.366,0.231,155.096,0.401,True,182.706
2,3,Shape of You,÷ (Deluxe),Ed Sheeran,2017-03-03,0.825,0.581,0.652,0.0,0.0931,-3.183,0.0802,95.977,0.931,False,233.712
3,4,Congratulations,Stoney (Deluxe),Post Malone,2016-12-09,0.63,0.215,0.804,0.0,0.253,-4.183,0.0363,123.146,0.492,True,220.293
4,5,Despacito - Remix,Despacito Feat. Justin Bieber (Remix),Luis Fonsi,2017-04-17,0.694,0.229,0.815,0.0,0.0924,-4.328,0.12,88.931,0.813,False,228.826
5,6,Mask Off,FUTURE,Future,2017-06-30,0.833,0.0102,0.434,0.0219,0.165,-8.795,0.431,150.062,0.281,True,204.6
6,7,iSpy (feat. Lil Yachty),iSpy (feat. Lil Yachty),KYLE,2016-12-02,0.746,0.378,0.653,0.0,0.229,-6.745,0.289,75.016,0.672,True,253.106
7,8,Location,American Teen,Khalid,2017-04-27,0.736,0.33,0.449,0.000162,0.0898,-11.462,0.425,80.126,0.326,False,219.08
8,9,That's What I Like,24K Magic,Bruno Mars,2016-11-17,0.853,0.013,0.56,0.0,0.0944,-4.961,0.0406,134.066,0.86,False,206.693
9,10,Unforgettable,Jungle Rules,French Montana,2017-07-14,0.726,0.0293,0.769,0.0101,0.104,-5.043,0.123,97.985,0.733,True,233.901
10,11,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Grateful,DJ Khaled,2017-06-22,0.609,0.0552,0.668,0.0,0.167,-4.284,0.0367,80.924,0.811,True,288.6
11,12,Bad and Boujee (feat. Lil Uzi Vert),Culture,Migos,2017-01-27,0.927,0.061,0.665,0.0,0.123,-5.313,0.244,127.076,0.175,True,343.15
12,13,1-800-273-8255,Everybody,Logic,2017-05-05,0.62,0.569,0.574,0.0,0.19,-7.788,0.0479,100.023,0.357,True,250.173
